disco,date,band,billing_naira
IBEDC,01/10/2021,lifeline,23495466.38
IBEDC,01/10/2021,band_a,4285709747
IBEDC,01/10/2021,band_b,2232887826
IBEDC,01/10/2021,band_c,2043157982
IBEDC,01/10/2021,band_d,1792565659
IBEDC,01/10/2021,band_e,1575965023
IBEDC,01/11/2021,lifeline,25557151.17
IBEDC,01/11/2021,band_a,4869529107
IBEDC,01/11/2021,band_b,2517262231
IBEDC,01/11/2021,band_c,2160309671
IBEDC,01/11/2021,band_d,1845412342
IBEDC,01/11/2021,band_e,1482989331
IBEDC,01/12/2021,lifeline,46451921.03
IBEDC,01/12/2021,band_a,4926940646
IBEDC,01/12/2021,band_b,2698819008
IBEDC,01/12/2021,band_c,2241421935
IBEDC,01/12/2021,band_d,1930362523
IBEDC,01/12/2021,band_e,1528151643
IBEDC,01/01/2022,lifeline,32348087.76
IBEDC,01/01/2022,band_a,4780813946
IBEDC,01/01/2022,band_b,2528560073
IBEDC,01/01/2022,band_c,2232863315
IBEDC,01/01/2022,band_d,1821876311
IBEDC,01/01/2022,band_e,1438452466
IBEDC,01/02/2022,lifeline,31627465.46
IBEDC,01/02/2022,band_a,4426209234
IBEDC,01/02/2022,band_b,2151402292
